Region,Date,Weekly_Sales
1,2012-04-20,1521577.87
1,2012-04-27,1468928.37
1,2012-05-04,1684519.99
1,2012-05-11,1611096.05
1,2012-05-18,1595901.87
1,2012-05-25,1555444.55
1,2012-06-01,1624477.58
1,2012-06-08,1697230.96
1,2012-06-15,1630607.0
1,2012-06-22,1527845.81
1,2012-06-29,1540421.49
1,2012-07-06,1769854.16
1,2012-07-13,1527014.04
1,2012-07-20,1497954.76
1,2012-07-27,1439123.71
1,2012-08-03,1631135.79
1,2012-08-10,1592409.97
1,2012-08-17,1597868.05
1,2012-08-24,1494122.38
1,2012-08-31,1582083.4
1,2012-09-07,1661767.33
1,2012-09-14,1517428.87
1,2012-09-21,1506126.06
1,2012-09-28,1437059.26
1,2012-10-05,1670785.97
1,2012-10-12,1573072.81
1,2012-10-19,1508068.77
1,2012-10-26,1493659.74
2,2012-04-20,1847344.45
2,2012-04-27,1764133.09
2,2012-05-04,1923957.09
2,2012-05-11,1917520.99
2,2012-05-18,2000940.67
2,2012-05-25,1912791.09
2,2012-06-01,1910092.37
2,2012-06-08,2010216.49
2,2012-06-15,1962924.3
2,2012-06-22,1887733.21
2,2012-06-29,1881046.12
2,2012-07-06,2041507.4
2,2012-07-13,1830075.13
2,2012-07-20,1819666.46
2,2012-07-27,1757923.88
2,2012-08-03,1946104.64
2,2012-08-10,1866719.96
2,2012-08-17,1928016.01
2,2012-08-24,1876788.15
2,2012-08-31,1947083.3
2,2012-09-07,1898777.07
2,2012-09-14,1814806.63
2,2012-09-21,1829415.67
2,2012-09-28,1746470.56
2,2012-10-05,1998321.04
2,2012-10-12,1900745.13
2,2012-10-19,1847990.41
2,2012-10-26,1834458.35
3,2012-04-20,434822.13
3,2012-04-27,394616.11
3,2012-05-04,439913.57
3,2012-05-11,431985.36
3,2012-05-18,418112.76
3,2012-05-25,413701.29
3,2012-06-01,432268.53
3,2012-06-08,446336.8
3,2012-06-15,442074.79
3,2012-06-22,419497.95
3,2012-06-29,422965.33
3,2012-07-06,411206.5
3,2012-07-13,416913.1
3,2012-07-20,432424.85
3,2012-07-27,389427.9
3,2012-08-03,419990.29
3,2012-08-10,391811.6
3,2012-08-17,394918.83
3,2012-08-24,412449.67
3,2012-08-31,408838.73
3,2012-09-07,408229.73
3,2012-09-14,407589.16
3,2012-09-21,414392.09
3,2012-09-28,389813.02
3,2012-10-05,443557.65
3,2012-10-12,410804.39
3,2012-10-19,424513.08
3,2012-10-26,405432.7
4,2012-04-20,2144336.89
4,2012-04-27,2064065.66
4,2012-05-04,2196968.33
4,2012-05-11,2127661.17
4,2012-05-18,2207214.81
4,2012-05-25,2154137.67
4,2012-06-01,2179360.94
4,2012-06-08,2245257.18
4,2012-06-15,2234190.93
4,2012-06-22,2197299.65
4,2012-06-29,2128362.92
4,2012-07-06,2224499.28
4,2012-07-13,2100252.61
4,2012-07-20,2175563.69
4,2012-07-27,2048613.65
4,2012-08-03,2174514.13
4,2012-08-10,2193367.69
4,2012-08-17,2283540.3
4,2012-08-24,2125241.68
4,2012-08-31,2081181.35
4,2012-09-07,2125104.72
4,2012-09-14,2117854.6
4,2012-09-21,2119438.5300000003
4,2012-09-28,2027620.23
4,2012-10-05,2209835.43
4,2012-10-12,2133026.07
4,2012-10-19,2097266.85
4,2012-10-26,2149594.46
5,2012-04-20,330063.06
5,2012-04-27,324839.74
5,2012-05-04,360932.69
5,2012-05-11,333870.52
5,2012-05-18,336189.66
5,2012-05-25,341994.48
5,2012-06-01,359867.8
5,2012-06-08,341704.59
5,2012-06-15,327383.64
5,2012-06-22,325041.68
5,2012-06-29,329658.1
